,screenname,username,datetime,url,tweetText,source_domain,source_title,source_snippet,replies_count,retweets_count,likes_count,views_count,reply_to
0,OposisiCerdas.com,@OposisiCerdas,2023-05-29 18:24:01+00:00,https://twitter.com/OposisiCerdas/status/1663249854536220672,MK di Bawah Kendali Kekuatan Pendukung Pemilu Ditunda Jika Putuskan Pileg Tertutup,oposisicerdas.com,MK di Bawah Kendali Kekuatan Pendukung Pemilu Ditunda Jika Putuskan Pileg Tertutup,"Mahkamah Konstitusi (MK) dianggap berada di bawah kendali kekuatan yang menghendaki pemilu ditunda, jika memutuskan Pileg dengan sistem prop...",1,7,16,436,
1,luthfiyyah,@luthfiyyah_a,2023-05-29 16:31:00+00:00,https://twitter.com/luthfiyyah_a/status/1663221414047129600,"mau fafifu wasweswos dulu
[Abis ngeliat komen di postingan pemilu its yg penundaan pemilu]

hmm, apa iya ga sampai pemilu ga sampai threshold gara2 ketidaksanggupan calon?",,,,,1,,229,
2,GELORA NEWS,@geloraco,2023-05-29 15:51:48+00:00,https://twitter.com/geloraco/status/1663211547852947458,MK di Bawah Kendali Kekuatan Pendukung Pemilu Ditunda Jika Putuskan Pileg Tertutup,gelora.co,MK di Bawah Kendali Kekuatan Pendukung Pemilu Ditunda Jika Putuskan Pileg Tertutup,,4,6,23,864,
3,Jaya Sakti,@Nissakti,2023-05-29 13:42:55+00:00,https://twitter.com/Nissakti/status/1663179114688417793,"Bocor nih Bocor 

Pemilu Sistem Proporsional Tertutup & Penundaan Pilpres",,,,1,2,1,90,@republikaonline
4,Tek Wan Mahalini,@AnsoriA20877190,2023-05-29 12:44:48+00:00,https://twitter.com/AnsoriA20877190/status/1663164488064049154,"Rakyat bergerak memang itu yang diinginkan.
Supaya chaos, akhirnya pemilu ditunda.
Aparat represif pastinya
(Obroralan para ojol di warung kopi mba Giyem)",,,,1,1,3,142,@IMCMushroom
5,Nisma Malik Mokhtar,@nisma_mokhtar,2023-05-29 12:28:02+00:00,https://twitter.com/nisma_mokhtar/status/1663160265670815744,Yg diperlukan itu penjelasan ttg pengaruh apapun keputusan MK terhdp tahapan pelaksanaan pemilu. Krn yg dicurigai masyarakat kan adanya upaya penundaan pemilu lewat keputusan MK kelak.,,,,1,,1,6,@kandargalang
6,AcoyBK,@AcoyBk,2023-05-29 10:35:39+00:00,https://twitter.com/AcoyBk/status/1663131986335236096,"MK putuskan Pemilu kembali ke sistem proposal tertutup,  ujung""nya Pemilu ditunda & kepala daerah dipilih lewat keterwakilan

Presiden (kaka ipar)
MK (adik ipar)
KPU (ketua otak selangkangangan)
Menkopolhukam
Mendagri
Kapolri
Panglima

PDI-P Megawati
PBB - Yusril

Tanggung Jawab!",,,,1,,,93,
7,Godam,@Godam062,2023-05-29 10:33:25+00:00,https://twitter.com/Godam062/status/1663131424931852288,"Wah, kalau semua partai terlibat apa semuanya digrounded dan kena pinalti 1 periode atau malah dibubarkan dan PT jadi 0% atau pemilu ditunda 3-4 tahun ?",,,,1,,1,71,@_palungmariana
8,Historia.ID,@historia_id,2023-05-29 10:05:34+00:00,https://twitter.com/historia_id/status/1663124415759122432,"Setelah Pemilu pertama, Pemilu berikutnya ditunda-tunda. Alasannya keamanan, sengketa Irian Barat, dan takut PKI menang. Pemilu baru kembali diselenggarakan pada masa Orde Baru.",premium.historia.id,Motif di Balik Penundaan Pemilu,"Setelah Pemilu pertama, Pemilu berikutnya ditunda-tunda. Alasannya keamanan, sengketa Irian Barat, dan takut PKI menang. Pemilu baru kembali diselenggarakan pada masa Orde Baru.",1,11,33,"4,565",
9,Edi Keceput 2,@EdiKeceput2,2023-05-29 05:39:25+00:00,https://twitter.com/EdiKeceput2/status/1663057435534434304,"Jaile  lupa die, kemarin ada 'drama' yg diawali dg ""BIG DUSTA"", kemudian wacana penundaan pemilu, perpanjangan masa jabatan Presiden, Presiden 3 periode sampai gak malu3 ada wacana Presiden 2X bisa nyalon wapres.
Sampai sibuk ngumpulin kades, relawan, lupa ngurusin rakyat.",,,,1,,1,45,@SlametR06751672
10,Beritabaru.co,@Beritabaruco,2023-05-29 05:13:33+00:00,https://twitter.com/Beritabaruco/status/1663050927941783552,KY Akan Periksa Hakim PN Jakpus Terkait Putusan Penundaan Tahapan Pemilu 2024 #Hakim #MK #PenundaanPemilu #PNJakartaPusat  http://dlvr.it/SpnZdq,,,,1,,,17,
11,FARIZ BASTIAN ARDHANI,@ArdhaniFariz,2023-05-29 04:37:00+00:00,https://twitter.com/ArdhaniFariz/status/1663041726423134209,"Benar2 LUCU & KOPLAK
Sygku @ch_chotimah2
MK Mainnya Putuskan aja sperti RAJA
MK Putuskan Masa jabatan KPK
diperpanjang menjadi 5 th
Yg Lebih BRUNTAL lagi MK Bakal
Putuskan Sistem PEMILU menjadi
Proporsional TERTUTUP
Klo ini BENAR sangat BERBAHAYA
Ujung2 nya PEMILU DITUNDA sygku",,,,1,2,5,112,
12,BeritaSatu,@Beritasatu,2023-05-29 03:45:37+00:00,https://twitter.com/Beritasatu/status/1663028797799800835,"Putuskan Pemilu Ditunda, Ketua PN Jakpus dan Majelis Hakim Perkara Prima Dipanggil KY",beritasatu.com,"Putuskan Pemilu Ditunda, Ketua PN Jakpus dan Majelis Hakim Perkara Prima Dipanggil KY",KY memanggil Ketua PN Jakpus Liliek Prisbawono Adi dan majelis hakim yang menangani perkara gugatan perdata yang diajukan Partai Prima.,1,,1,621,
13,AcoyBK,@AcoyBk,2023-05-29 01:50:28+00:00,https://twitter.com/AcoyBk/status/1662999816836878336,"Pemjarahan
Penculikan
Sniper
Perkosaan massal etnis tertentu
Exodus besar besaran WNA WNI keluar wilayah nkri

Ujung ujungnya Pemilu ditunda?

Reformasi jilid2  !!",,,,1,1,,90,
